HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.face1,Answer.face2,Answer.facePairNum,Answer.question,Answer.responses,Answer.trialNum,Approve,Reject
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,31N2WW6R9RQYK3AS24QYW41KVZ53FQ,A1NUKP1UCT2R2R,Approved,Fri Apr 07 13:49:04 PDT 2017,Fri Apr 07 14:15:32 PDT 2017,Sat Apr 08 02:15:32 PDT 2017,Fri Apr 07 14:58:09 PDT 2017,,,1588,100% (1/1),100% (1/1),100% (1/1),"DanielShinzo,DanielHillary,DanielHillary,ArnoldBarney,ArnoldBarney,DanielShinzo,HillaryShinzo,BarneyDaniel,IanPiers,DanielShinzo,DanielHillary,ArnoldBarney,ArnoldBarney,HillaryShinzo,BarneyDaniel,ArnoldBarney,BarneyDaniel,BarneyDaniel,ArnoldBarney,DanielHillary,HillaryShinzo,BarneyDaniel,DanielShinzo,ArnoldBarney,IanPiers,BarneyDaniel,IanTom,DanielHillary","IanTom,HillaryShinzo,IanTom,HillaryShinzo,IanTom,HillaryShinzo,PiersTom,IanTom,PiersTom,PiersTom,PiersTom,IanPiers,DanielHillary,IanTom,HillaryShinzo,PiersTom,PiersTom,DanielHillary,DanielShinzo,IanPiers,IanPiers,DanielShinzo,IanPiers,BarneyDaniel,IanTom,IanPiers,PiersTom,DanielShinzo","20,14,16,3,5,18,24,11,26,21,17,4,1,23,9,6,12,7,2,15,22,8,19,0,25,10,27,13",4,"7,5,3,3,4,7,5,6,7,6,5,6,5,7,6,7,6,5,6,4,6,4,6,7,9,7,7,4","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3A9AA95ATWMDPVMQUQAWNVD8B14P5Q,A32QJF67JMJFKX,Approved,Fri Apr 07 12:44:28 PDT 2017,Fri Apr 07 13:18:06 PDT 2017,Sat Apr 08 01:18:06 PDT 2017,Fri Apr 07 13:20:44 PDT 2017,,,2018,100% (2/2),100% (2/2),100% (2/2),"ArnoldBarney,IanPiers,ArnoldBarney,DanielShinzo,HillaryShinzo,ArnoldBarney,DanielHillary,BarneyDaniel,HillaryShinzo,DanielShinzo,ArnoldBarney,HillaryShinzo,DanielHillary,IanTom,DanielHillary,DanielHillary,IanPiers,BarneyDaniel,BarneyDaniel,ArnoldBarney,ArnoldBarney,DanielShinzo,DanielShinzo,BarneyDaniel,ArnoldBarney,BarneyDaniel,BarneyDaniel,DanielHillary","IanTom,PiersTom,IanPiers,HillaryShinzo,IanPiers,DanielShinzo,IanPiers,HillaryShinzo,IanTom,PiersTom,DanielHillary,PiersTom,PiersTom,PiersTom,DanielShinzo,IanTom,IanTom,DanielHillary,PiersTom,HillaryShinzo,BarneyDaniel,IanTom,IanPiers,IanTom,PiersTom,IanPiers,DanielShinzo,HillaryShinzo","5,26,4,18,22,2,15,9,23,21,1,24,17,27,13,16,25,7,12,3,0,20,19,11,6,10,8,14",5,"7,8,4,5,3,5,3,2,3,5,3,2,2,9,5,3,9,7,8,4,7,7,6,7,9,8,6,5","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3AAPLD8UCCHNXGZSC9KPH2HV5DGHT4,A2Z7SWO6HS5OOI,Approved,Fri Apr 07 12:45:12 PDT 2017,Fri Apr 07 13:40:31 PDT 2017,Sat Apr 08 01:40:31 PDT 2017,Fri Apr 07 13:41:53 PDT 2017,,,3319,100% (1/1),100% (1/1),100% (1/1),"DanielHillary,ArnoldBarney,BarneyDaniel,BarneyDaniel,DanielHillary,IanPiers,ArnoldBarney,HillaryShinzo,DanielShinzo,ArnoldBarney,IanTom,BarneyDaniel,ArnoldBarney,BarneyDaniel,HillaryShinzo,DanielShinzo,ArnoldBarney,ArnoldBarney,IanPiers,DanielShinzo,DanielHillary,DanielHillary,DanielShinzo,HillaryShinzo,DanielHillary,BarneyDaniel,BarneyDaniel,ArnoldBarney","IanTom,HillaryShinzo,DanielHillary,DanielShinzo,PiersTom,PiersTom,PiersTom,PiersTom,PiersTom,IanTom,PiersTom,HillaryShinzo,IanPiers,IanPiers,IanTom,IanPiers,DanielShinzo,BarneyDaniel,IanTom,IanTom,IanPiers,HillaryShinzo,HillaryShinzo,IanPiers,DanielShinzo,IanTom,PiersTom,DanielHillary","16,3,7,8,17,26,6,24,21,5,27,9,4,10,23,19,2,0,25,20,15,14,18,22,13,11,12,1",9,"5,3,6,4,3,9,7,4,3,6,7,3,6,6,10,10,9,9,9,9,4,4,4,4,6,9,9,9","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3CP1TO84PT1HXOLKSSZKRI5F0RC52J,A1C59M3HPCO503,Approved,Fri Apr 07 12:44:38 PDT 2017,Fri Apr 07 13:22:37 PDT 2017,Sat Apr 08 01:22:37 PDT 2017,Fri Apr 07 13:41:53 PDT 2017,,,2279,100% (1/1),100% (1/1),100% (1/1),"DanielShinzo,BarneyDaniel,BarneyDaniel,DanielHillary,BarneyDaniel,ArnoldBarney,DanielHillary,DanielHillary,ArnoldBarney,DanielHillary,ArnoldBarney,HillaryShinzo,DanielShinzo,DanielHillary,IanTom,IanPiers,IanPiers,ArnoldBarney,ArnoldBarney,BarneyDaniel,BarneyDaniel,ArnoldBarney,HillaryShinzo,HillaryShinzo,BarneyDaniel,DanielShinzo,ArnoldBarney,DanielShinzo","IanPiers,HillaryShinzo,IanTom,PiersTom,DanielShinzo,IanPiers,IanTom,HillaryShinzo,BarneyDaniel,IanPiers,DanielHillary,PiersTom,HillaryShinzo,DanielShinzo,PiersTom,PiersTom,IanTom,IanTom,PiersTom,PiersTom,DanielHillary,DanielShinzo,IanTom,IanPiers,IanPiers,PiersTom,HillaryShinzo,IanTom","19,9,11,17,8,4,16,14,0,15,1,24,18,13,27,26,25,5,6,12,7,2,23,22,10,21,3,20",5,"8,2,6,3,4,5,1,6,10,4,3,4,4,7,9,10,10,5,8,4,3,1,2,2,4,6,1,5","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3GS6S824SQX7ZTPXACKD96LQVJ7NW9,AC4LBMA5QJJ1I,Approved,Fri Apr 07 12:46:32 PDT 2017,Fri Apr 07 12:57:30 PDT 2017,Sat Apr 08 00:57:30 PDT 2017,Fri Apr 07 13:00:59 PDT 2017,,,658,100% (1/1),100% (1/1),100% (1/1),"ArnoldBarney,DanielHillary,HillaryShinzo,BarneyDaniel,ArnoldBarney,HillaryShinzo,BarneyDaniel,IanPiers,HillaryShinzo,DanielHillary,IanTom,ArnoldBarney,ArnoldBarney,DanielShinzo,ArnoldBarney,DanielShinzo,DanielHillary,DanielHillary,BarneyDaniel,BarneyDaniel,ArnoldBarney,BarneyDaniel,IanPiers,DanielShinzo,ArnoldBarney,DanielShinzo,DanielHillary,BarneyDaniel","DanielShinzo,IanPiers,PiersTom,PiersTom,BarneyDaniel,IanTom,DanielShinzo,PiersTom,IanPiers,IanTom,PiersTom,IanTom,PiersTom,HillaryShinzo,IanPiers,IanPiers,HillaryShinzo,DanielShinzo,IanTom,IanPiers,HillaryShinzo,HillaryShinzo,IanTom,PiersTom,DanielHillary,IanTom,PiersTom,DanielHillary","2,15,24,12,0,23,8,26,22,16,27,5,6,18,4,19,14,13,11,10,3,9,25,21,1,20,17,7",3,"6,3,5,10,9,3,6,10,2,1,8,8,8,4,7,7,7,3,7,8,4,3,7,6,2,7,3,3","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3HYA4D452RJ9ZLE9Y4CTDUWSPLQF2C,A3RRW6OSYCLKWB,Approved,Fri Apr 07 12:44:39 PDT 2017,Fri Apr 07 12:47:55 PDT 2017,Sat Apr 08 00:47:55 PDT 2017,Fri Apr 07 12:49:33 PDT 2017,,,196,100% (1/1),100% (1/1),100% (1/1),"ArnoldBarney,ArnoldBarney,DanielHillary,ArnoldBarney,DanielHillary,IanPiers,BarneyDaniel,BarneyDaniel,IanPiers,HillaryShinzo,HillaryShinzo,ArnoldBarney,BarneyDaniel,HillaryShinzo,ArnoldBarney,ArnoldBarney,ArnoldBarney,DanielHillary,BarneyDaniel,BarneyDaniel,DanielShinzo,DanielShinzo,IanTom,DanielShinzo,DanielHillary,DanielShinzo,BarneyDaniel,DanielHillary","PiersTom,HillaryShinzo,DanielShinzo,BarneyDaniel,IanTom,PiersTom,IanTom,HillaryShinzo,IanTom,IanPiers,PiersTom,IanPiers,DanielShinzo,IanTom,DanielShinzo,IanTom,DanielHillary,PiersTom,IanPiers,PiersTom,HillaryShinzo,IanPiers,PiersTom,IanTom,IanPiers,PiersTom,DanielHillary,HillaryShinzo","6,3,13,0,16,26,11,9,25,22,24,4,8,23,2,5,1,17,10,12,18,19,27,20,15,21,7,14",2,"7,1,2,7,1,5,1,1,7,5,1,2,1,3,1,1,1,1,4,3,5,5,7,2,3,3,1,2","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3LRKMWOKB5HF4259ZG60GMCA1QYZ2Y,A1Y9VA9FKJLS5K,Approved,Fri Apr 07 13:46:47 PDT 2017,Fri Apr 07 13:57:36 PDT 2017,Sat Apr 08 01:57:36 PDT 2017,Fri Apr 07 14:58:09 PDT 2017,,,649,100% (1/1),100% (1/1),100% (1/1),"ArnoldBarney,IanTom,DanielHillary,DanielShinzo,BarneyDaniel,HillaryShinzo,BarneyDaniel,ArnoldBarney,BarneyDaniel,ArnoldBarney,ArnoldBarney,HillaryShinzo,ArnoldBarney,IanPiers,DanielHillary,DanielHillary,ArnoldBarney,BarneyDaniel,DanielShinzo,BarneyDaniel,BarneyDaniel,IanPiers,DanielShinzo,DanielHillary,ArnoldBarney,HillaryShinzo,DanielHillary,DanielShinzo","PiersTom,PiersTom,IanPiers,IanPiers,IanTom,PiersTom,DanielHillary,DanielShinzo,IanPiers,BarneyDaniel,DanielHillary,IanPiers,IanPiers,IanTom,IanTom,DanielShinzo,IanTom,HillaryShinzo,PiersTom,PiersTom,DanielShinzo,PiersTom,HillaryShinzo,PiersTom,HillaryShinzo,IanTom,HillaryShinzo,IanTom","6,27,15,19,11,24,7,2,10,0,1,22,4,25,16,13,5,9,21,12,8,26,18,17,3,23,14,20",7,"7,8,3,3,4,2,2,1,6,7,3,1,7,9,1,1,3,1,4,3,5,7,1,1,1,3,5,7","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3NJM2BJS4W6YOGV590X411JI3IQPCY,A1HN4550TIXQBZ,Approved,Fri Apr 07 12:44:42 PDT 2017,Fri Apr 07 13:21:29 PDT 2017,Sat Apr 08 01:21:29 PDT 2017,Fri Apr 07 13:41:53 PDT 2017,,,2207,100% (1/1),100% (1/1),100% (1/1),"HillaryShinzo,BarneyDaniel,DanielHillary,BarneyDaniel,BarneyDaniel,ArnoldBarney,DanielShinzo,DanielShinzo,DanielHillary,ArnoldBarney,DanielHillary,DanielHillary,ArnoldBarney,IanTom,HillaryShinzo,BarneyDaniel,DanielHillary,DanielShinzo,ArnoldBarney,IanPiers,BarneyDaniel,DanielShinzo,BarneyDaniel,HillaryShinzo,IanPiers,ArnoldBarney,ArnoldBarney,ArnoldBarney","PiersTom,DanielHillary,IanPiers,IanTom,PiersTom,BarneyDaniel,PiersTom,IanPiers,HillaryShinzo,IanPiers,PiersTom,DanielShinzo,HillaryShinzo,PiersTom,IanPiers,HillaryShinzo,IanTom,IanTom,PiersTom,PiersTom,DanielShinzo,HillaryShinzo,IanPiers,IanTom,IanTom,IanTom,DanielShinzo,DanielHillary","24,7,15,11,12,0,21,19,14,4,17,13,3,27,22,9,16,20,6,26,8,18,10,23,25,5,2,1",4,"8,4,9,9,9,9,9,9,10,10,3,3,1,10,3,1,1,1,1,10,7,4,5,4,8,6,6,4","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3OLF68YTN91Y4O9DBJ58JCFQ19IFAJ,A1OBWGLS5LRLT3,Approved,Fri Apr 07 12:44:52 PDT 2017,Fri Apr 07 13:18:05 PDT 2017,Sat Apr 08 01:18:05 PDT 2017,Fri Apr 07 13:20:44 PDT 2017,,,1993,100% (1/1),100% (1/1),100% (1/1),"DanielHillary,IanTom,BarneyDaniel,HillaryShinzo,ArnoldBarney,DanielShinzo,ArnoldBarney,ArnoldBarney,BarneyDaniel,ArnoldBarney,ArnoldBarney,ArnoldBarney,DanielHillary,DanielShinzo,DanielHillary,HillaryShinzo,DanielShinzo,HillaryShinzo,IanPiers,BarneyDaniel,DanielShinzo,DanielHillary,DanielHillary,ArnoldBarney,IanPiers,BarneyDaniel,BarneyDaniel,BarneyDaniel","PiersTom,PiersTom,DanielHillary,IanTom,HillaryShinzo,IanTom,PiersTom,DanielHillary,DanielShinzo,IanTom,BarneyDaniel,DanielShinzo,IanTom,HillaryShinzo,HillaryShinzo,IanPiers,PiersTom,PiersTom,PiersTom,IanTom,IanPiers,IanPiers,DanielShinzo,IanPiers,IanTom,PiersTom,IanPiers,HillaryShinzo","17,27,7,23,3,20,6,1,8,5,0,2,16,18,14,22,21,24,26,11,19,15,13,4,25,12,10,9",4,"7,7,6,3,4,4,8,4,5,7,3,3,3,3,9,2,2,2,8,4,5,4,4,6,10,4,4,4","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
3XUY87HIVPE2PFCQ47UOY9YED4SMMQ,3JUYWRRWV2PPTU0VX7F1DETDVX0NDQ,Face similarity survey,Judge the similarity of pairs of human faces,"psychology, experiment, faces",$0.35 ,Fri Apr 07 12:43:53 PDT 2017,15,BatchId:2757320;OriginalHitTemplateId:920937336;,3600,43200,Fri Apr 14 12:43:53 PDT 2017,,,3OONKJ5DKCJXTBRYG0OU1H8ABSUOB9,A2YGAEODJ5SSF6,Approved,Fri Apr 07 12:46:23 PDT 2017,Fri Apr 07 12:59:28 PDT 2017,Sat Apr 08 00:59:28 PDT 2017,Fri Apr 07 13:01:08 PDT 2017,,,785,100% (1/1),100% (1/1),100% (1/1),"DanielHillary,ArnoldBarney,ArnoldBarney,ArnoldBarney,DanielHillary,DanielHillary,ArnoldBarney,HillaryShinzo,BarneyDaniel,BarneyDaniel,DanielShinzo,IanPiers,DanielShinzo,DanielHillary,IanTom,BarneyDaniel,IanPiers,BarneyDaniel,HillaryShinzo,ArnoldBarney,DanielShinzo,HillaryShinzo,DanielHillary,DanielShinzo,ArnoldBarney,ArnoldBarney,BarneyDaniel,BarneyDaniel","DanielShinzo,IanPiers,DanielHillary,DanielShinzo,IanTom,HillaryShinzo,PiersTom,PiersTom,DanielShinzo,DanielHillary,IanPiers,IanTom,PiersTom,PiersTom,PiersTom,HillaryShinzo,PiersTom,IanTom,IanTom,IanTom,IanTom,IanPiers,IanPiers,HillaryShinzo,BarneyDaniel,HillaryShinzo,PiersTom,IanPiers","13,4,1,2,16,14,6,24,8,7,19,25,21,17,27,9,26,11,23,5,20,22,15,18,0,3,12,10",7,"7,7,6,7,8,9,10,4,4,8,10,10,10,2,10,2,7,4,1,2,3,2,1,8,9,3,4,7","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",,
